Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value%
Afghanistan,F,Age,15-24,... if she burns the food,01/01/2015,17.3
Afghanistan,F,Age,25-34,... if she burns the food,01/01/2015,18.2
Afghanistan,F,Age,35-49,... if she burns the food,01/01/2015,18.8
Afghanistan,M,Age,25-34,... if she burns the food,01/01/2015,8.2
Afghanistan,M,Age,35-49,... if she burns the food,01/01/2015,8.6
Afghanistan,M,Age,15-24,... if she burns the food,01/01/2015,9.4
Afghanistan,F,Age,15-24,... for at least one specific reason,01/01/2015,80.1
Afghanistan,F,Age,25-34,... for at least one specific reason,01/01/2015,81.5
Afghanistan,F,Age,35-49,... for at least one specific reason,01/01/2015,79
Afghanistan,F,Age,15-24,... if she argues with him,01/01/2015,57.5
Afghanistan,F,Age,25-34,... if she argues with him,01/01/2015,60
Afghanistan,F,Age,35-49,... if she argues with him,01/01/2015,59.8
Afghanistan,F,Age,15-24,... if she goes out without telling him,01/01/2015,67.7
Afghanistan,F,Age,25-34,... if she goes out without telling him,01/01/2015,68.5
Afghanistan,F,Age,35-49,... if she goes out without telling him,01/01/2015,64.7
Afghanistan,F,Age,15-24,... if she neglects the children,01/01/2015,46.5
Afghanistan,F,Age,25-34,... if she neglects the children,01/01/2015,50.2
Afghanistan,F,Age,35-49,... if she neglects the children,01/01/2015,48.1
Afghanistan,F,Age,15-24,... if she refuses to have sex with him,01/01/2015,32.1
Afghanistan,F,Age,25-34,... if she refuses to have sex with him,01/01/2015,34.3
Afghanistan,F,Age,35-49,... if she refuses to have sex with him,01/01/2015,33.5
Afghanistan,M,Age,15-24,... for at least one specific reason,01/01/2015,74.1
Afghanistan,M,Age,25-34,... for at least one specific reason,01/01/2015,70.5
Afghanistan,M,Age,35-49,... for at least one specific reason,01/01/2015,73.6
Afghanistan,M,Age,15-24,... if she argues with him,01/01/2015,44.4
Afghanistan,M,Age,25-34,... if she argues with him,01/01/2015,44.6
Afghanistan,M,Age,35-49,... if she argues with him,01/01/2015,46.6
Afghanistan,M,Age,15-24,... if she goes out without telling him,01/01/2015,63.3
Afghanistan,M,Age,25-34,... if she goes out without telling him,01/01/2015,60.4
Afghanistan,M,Age,35-49,... if she goes out without telling him,01/01/2015,61
Afghanistan,M,Age,15-24,... if she neglects the children,01/01/2015,24.8
Afghanistan,M,Age,25-34,... if she neglects the children,01/01/2015,27
Afghanistan,M,Age,35-49,... if she neglects the children,01/01/2015,25.7
